# decoded solutions
Answer 1: x1=1, x2=3, x3=2
Answer 2: x1=3, x2=1, x3=2
Answer 3: x1=1, x2=3, x3=2
Answer 4: x1=3, x2=1, x3=2
Answer 5: x1=1, x2=3, x3=2
Answer 6: x1=1, x2=3, x3=2
Answer 7: x1=3, x2=1, x3=2
Answer 8: x1=3, x2=1, x3=2
Answer 9: x1=1, x2=3, x3=2
Answer 10: x1=3, x2=1, x3=2
Answer 11: x1=1, x2=3, x3=2
Answer 12: x1=3, x2=1, x3=2
Answer 13: x1=1, x2=3, x3=2
Answer 14: x1=1, x2=3, x3=2
Answer 15: x1=3, x2=1, x3=2
Answer 16: x1=3, x2=1, x3=2
Answer 17: x1=1, x2=3, x3=2
Answer 18: x1=3, x2=1, x3=2
Answer 19: x1=1, x2=3, x3=2
Answer 20: x1=3, x2=1, x3=2
Answer 21: x1=1, x2=3, x3=2
Answer 22: x1=1, x2=3, x3=2
Answer 23: x1=3, x2=1, x3=2
Answer 24: x1=3, x2=1, x3=2
Answer 25: x1=1, x2=3, x3=2
Answer 26: x1=3, x2=1, x3=2
Answer 27: x1=1, x2=3, x3=2
Answer 28: x1=3, x2=1, x3=2
Answer 29: x1=1, x2=3, x3=2
Answer 30: x1=1, x2=3, x3=2
Answer 31: x1=3, x2=1, x3=2
Answer 32: x1=3, x2=1, x3=2
Answer 33: x1=1, x2=3, x3=2
Answer 34: x1=3, x2=1, x3=2
Answer 35: x1=1, x2=3, x3=2
Answer 36: x1=3, x2=1, x3=2
Answer 37: x1=1, x2=3, x3=2
Answer 38: x1=1, x2=3, x3=2
Answer 39: x1=3, x2=1, x3=2
Answer 40: x1=3, x2=1, x3=2
Answer 41: x1=1, x2=3, x3=2
Answer 42: x1=3, x2=1, x3=2
Answer 43: x1=1, x2=3, x3=2
Answer 44: x1=3, x2=1, x3=2
Answer 45: x1=1, x2=3, x3=2
Answer 46: x1=1, x2=3, x3=2
Answer 47: x1=3, x2=1, x3=2
Answer 48: x1=3, x2=1, x3=2
Answer 49: x1=1, x2=3, x3=2
Answer 50: x1=3, x2=1, x3=2
Answer 51: x1=1, x2=3, x3=2
Answer 52: x1=3, x2=1, x3=2
Answer 53: x1=1, x2=3, x3=2
Answer 54: x1=1, x2=3, x3=2
Answer 55: x1=3, x2=1, x3=2
Answer 56: x1=3, x2=1, x3=2
Answer 57: x1=1, x2=3, x3=2
Answer 58: x1=3, x2=1, x3=2
Answer 59: x1=1, x2=3, x3=2
Answer 60: x1=3, x2=1, x3=2
Answer 61: x1=1, x2=3, x3=2
Answer 62: x1=1, x2=3, x3=2
Answer 63: x1=3, x2=1, x3=2
Answer 64: x1=3, x2=1, x3=2
Answer 65: x1=1, x2=3, x3=2
Answer 66: x1=3, x2=1, x3=2
Answer 67: x1=1, x2=3, x3=2
Answer 68: x1=3, x2=1, x3=2
Answer 69: x1=1, x2=3, x3=2
Answer 70: x1=1, x2=3, x3=2
Answer 71: x1=3, x2=1, x3=2
Answer 72: x1=3, x2=1, x3=2
Answer 73: x1=1, x2=3, x3=2
Answer 74: x1=3, x2=1, x3=2
Answer 75: x1=1, x2=3, x3=2
Answer 76: x1=3, x2=1, x3=2
Answer 77: x1=1, x2=3, x3=2
Answer 78: x1=1, x2=3, x3=2
Answer 79: x1=3, x2=1, x3=2
Answer 80: x1=3, x2=1, x3=2
Answer 81: x1=1, x2=3, x3=2
Answer 82: x1=3, x2=1, x3=2
Answer 83: x1=1, x2=3, x3=2
Answer 84: x1=3, x2=1, x3=2
Answer 85: x1=1, x2=3, x3=2
Answer 86: x1=1, x2=3, x3=2
Answer 87: x1=3, x2=1, x3=2
Answer 88: x1=3, x2=1, x3=2
Answer 89: x1=1, x2=3, x3=2
Answer 90: x1=3, x2=1, x3=2
Answer 91: x1=1, x2=3, x3=2
Answer 92: x1=3, x2=1, x3=2
Answer 93: x1=1, x2=3, x3=2
Answer 94: x1=1, x2=3, x3=2
Answer 95: x1=3, x2=1, x3=2
Answer 96: x1=3, x2=1, x3=2
Answer 97: x1=1, x2=3, x3=2
Answer 98: x1=3, x2=1, x3=2
Answer 99: x1=1, x2=3, x3=2
Answer 100: x1=3, x2=1, x3=2
Answer 101: x1=1, x2=3, x3=2
Answer 102: x1=1, x2=3, x3=2
Answer 103: x1=3, x2=1, x3=2
Answer 104: x1=3, x2=1, x3=2
Answer 105: x1=1, x2=3, x3=2
Answer 106: x1=3, x2=1, x3=2
Answer 107: x1=1, x2=3, x3=2
Answer 108: x1=3, x2=1, x3=2
Answer 109: x1=1, x2=3, x3=2
Answer 110: x1=1, x2=3, x3=2
Answer 111: x1=3, x2=1, x3=2
Answer 112: x1=3, x2=1, x3=2
Answer 113: x1=1, x2=3, x3=2
Answer 114: x1=3, x2=1, x3=2
Answer 115: x1=1, x2=3, x3=2
Answer 116: x1=3, x2=1, x3=2
Answer 117: x1=1, x2=3, x3=2
Answer 118: x1=1, x2=3, x3=2
Answer 119: x1=3, x2=1, x3=2
Answer 120: x1=3, x2=1, x3=2
Answer 121: x1=1, x2=3, x3=2
Answer 122: x1=3, x2=1, x3=2
Answer 123: x1=1, x2=3, x3=2
Answer 124: x1=3, x2=1, x3=2
Answer 125: x1=1, x2=3, x3=2
Answer 126: x1=1, x2=3, x3=2
Answer 127: x1=3, x2=1, x3=2
Answer 128: x1=3, x2=1, x3=2
Answer 129: x1=1, x2=3, x3=2
Answer 130: x1=3, x2=1, x3=2
Answer 131: x1=1, x2=3, x3=2
Answer 132: x1=3, x2=1, x3=2
Answer 133: x1=1, x2=3, x3=2
Answer 134: x1=1, x2=3, x3=2
Answer 135: x1=3, x2=1, x3=2
Answer 136: x1=3, x2=1, x3=2
Answer 137: x1=1, x2=3, x3=2
Answer 138: x1=3, x2=1, x3=2
Answer 139: x1=1, x2=3, x3=2
Answer 140: x1=3, x2=1, x3=2
Answer 141: x1=1, x2=3, x3=2
Answer 142: x1=1, x2=3, x3=2
Answer 143: x1=3, x2=1, x3=2
Answer 144: x1=3, x2=1, x3=2
Answer 145: x1=1, x2=3, x3=2
Answer 146: x1=3, x2=1, x3=2
Answer 147: x1=1, x2=3, x3=2
Answer 148: x1=3, x2=1, x3=2
Answer 149: x1=1, x2=3, x3=2
Answer 150: x1=1, x2=3, x3=2
Answer 151: x1=3, x2=1, x3=2
Answer 152: x1=3, x2=1, x3=2
Answer 153: x1=1, x2=3, x3=2
Answer 154: x1=3, x2=1, x3=2
Answer 155: x1=1, x2=3, x3=2
Answer 156: x1=3, x2=1, x3=2
Answer 157: x1=1, x2=3, x3=2
Answer 158: x1=1, x2=3, x3=2
Answer 159: x1=3, x2=1, x3=2
Answer 160: x1=3, x2=1, x3=2
Answer 161: x1=1, x2=3, x3=2
Answer 162: x1=3, x2=1, x3=2
Answer 163: x1=1, x2=3, x3=2
Answer 164: x1=3, x2=1, x3=2
Answer 165: x1=1, x2=3, x3=2
Answer 166: x1=1, x2=3, x3=2
Answer 167: x1=3, x2=1, x3=2
Answer 168: x1=3, x2=1, x3=2
Answer 169: x1=1, x2=3, x3=2
Answer 170: x1=3, x2=1, x3=2
Answer 171: x1=1, x2=3, x3=2
Answer 172: x1=3, x2=1, x3=2
Answer 173: x1=1, x2=3, x3=2
Answer 174: x1=1, x2=3, x3=2
Answer 175: x1=3, x2=1, x3=2
Answer 176: x1=3, x2=1, x3=2
Answer 177: x1=1, x2=3, x3=2
Answer 178: x1=3, x2=1, x3=2
Answer 179: x1=1, x2=3, x3=2
Answer 180: x1=3, x2=1, x3=2
Answer 181: x1=1, x2=3, x3=2
Answer 182: x1=1, x2=3, x3=2
Answer 183: x1=3, x2=1, x3=2
Answer 184: x1=3, x2=1, x3=2
Answer 185: x1=1, x2=3, x3=2
Answer 186: x1=3, x2=1, x3=2
Answer 187: x1=1, x2=3, x3=2
Answer 188: x1=3, x2=1, x3=2
Answer 189: x1=1, x2=3, x3=2
Answer 190: x1=1, x2=3, x3=2
Answer 191: x1=3, x2=1, x3=2
Answer 192: x1=3, x2=1, x3=2
Answer 193: x1=1, x2=3, x3=2
Answer 194: x1=3, x2=1, x3=2
Answer 195: x1=1, x2=3, x3=2
Answer 196: x1=3, x2=1, x3=2
Answer 197: x1=1, x2=3, x3=2
